Rank, Site, System, Cores, Rmax (TFlop/s), Rpeak (TFlop/s), Power (kW),Country
1,DOE/SC/Oak Ridge National LaboratoryUnited States,Summit - IBM Power System AC922 IBM POWER9 22C 3.07GHz NVIDIA Volta GV100 Dual-rail Mellanox EDR Infiniband                    IBM,2282544,122300,187659.3,8806,United States
2,National Supercomputing Center in WuxiChina,Sunway TaihuLight - Sunway MPP Sunway SW26010 260C 1.45GHz Sunway                    NRCPC,10649600,93014.6,125435.9,15371,China
3,DOE/NNSA/LLNLUnited States,Sierra - IBM Power System S922LC IBM POWER9 22C 3.1GHz NVIDIA Volta GV100 Dual-rail Mellanox EDR Infiniband                    IBM,1572480,71610,119193.6,,United States
4,National Super Computer Center in GuangzhouChina,Tianhe-2A - TH-IVB-FEP Cluster Intel Xeon E5-2692v2 12C 2.2GHz TH Express-2 Matrix-2000                    NUDT,4981760,61444.5,100678.7,18482,China
5,National Institute of Advanced Industrial Science and Technology (AIST)Japan,AI Bridging Cloud Infrastructure (ABCI) - PRIMERGY CX2550 M4 Xeon Gold 6148 20C 2.4GHz NVIDIA Tesla V100 SXM2 Infiniband EDR                    Fujitsu,391680,19880,32576.6,1649,Japan
6,Swiss National Supercomputing Centre (CSCS)Switzerland,Piz Daint - Cray XC50 Xeon E5-2690v3 12C 2.6GHz Aries interconnect  NVIDIA Tesla P100                    Cray Inc.,361760,19590,25326.3,2272,Switzerland
7,DOE/SC/Oak Ridge National LaboratoryUnited States,Titan - Cray XK7 Opteron 6274 16C 2.200GHz Cray Gemini interconnect NVIDIA K20x                    Cray Inc.,560640,17590,27112.5,8209,United States
8,DOE/NNSA/LLNLUnited States,Sequoia - BlueGene/Q Power BQC 16C 1.60 GHz Custom                    IBM,1572864,17173.2,20132.7,7890,United States
9,DOE/NNSA/LANL/SNLUnited States,Trinity - Cray XC40 Intel Xeon Phi 7250 68C 1.4GHz Aries interconnect                     Cray Inc.,979968,14137.3,43902.6,3844,United States
10,DOE/SC/LBNL/NERSCUnited States,Cori - Cray XC40 Intel Xeon Phi 7250 68C 1.4GHz Aries interconnect                     Cray Inc.,622336,14014.7,27880.7,3939,United States
11,Korea Institute of Science and Technology InformationKorea South,Nurion - Cray CS500 Intel Xeon Phi 7250 68C 1.4GHz Intel Omni-Path                    Cray Inc.,570020,13929.3,25705.9,,Korea South
12,Joint Center for Advanced High Performance ComputingJapan,Oakforest-PACS - PRIMERGY CX1640 M1 Intel Xeon Phi 7250 68C 1.4GHz Intel Omni-Path                    Fujitsu,556104,13554.6,24913.5,2719,Japan
13,Eni S.p.A.Italy,HPC4 - Proliant DL380 Gen10 Xeon Platinum 8160  24C 2.1GHz Mellanox InfiniBand EDR NVIDIA Tesla P100                    HPE,253600,12210,18621.1,1320,Italy
